"","countrycode","year","gdppc","growth","UDel_pop_preci","UDel_pop_temp"
"2561","CUB",1968,NA,NA,1372.30914146005,25.2151490569742
"2562","CUB",1969,NA,NA,1589.39432430527,25.6676484341325
"2563","CUB",1970,2653.733994,NA,1138.48759325375,25.3457922219211
"2564","CUB",1971,2830.98293,0.0646562738878584,1159.32500101951,24.9940558604009
"2565","CUB",1972,2915.9169,0.029560339357861,1451.98705158208,25.1927810744076
"2566","CUB",1973,2965.637671,0.0169077596328924,1445.99998794004,25.156295237057
"2567","CUB",1974,2949.166246,-0.00556957350064469,1168.17697710799,24.9969685102448
"2568","CUB",1975,3185.748605,0.0771648002924898,1120.71673235678,25.2831545987833
"2569","CUB",1976,3320.793201,0.0415163681336903,1317.39314871047,24.9234751990666
"2570","CUB",1977,3575.603732,0.0739303676155476,1467.63983235485,25.0459141273445
"2571","CUB",1978,3780.915921,0.055832249450793,1652.14853546543,25.079650069489
"2572","CUB",1979,3795.980123,0.00397635700988275,1574.15270412891,25.0682932365543
"2573","CUB",1980,3590.404449,-0.0556777883894828,1632.06607902349,25.3836487177463
"2574","CUB",1981,4275.835049,0.174714560369994,1381.7634636411,25.055811578253
"2575","CUB",1982,4637.756861,0.0812513978033031,1292.72940873078,25.443382192078
"2576","CUB",1983,4868.651774,0.0485862414288025,1545.69721284015,25.4016075704311
"2577","CUB",1984,5228.349056,0.0712785045291273,1203.89862747781,25.0892324119809
"2578","CUB",1985,5276.97439,0.00925734110115783,1218.61098932553,25.2116937004253
"2579","CUB",1986,5237.406852,-0.00752640100640178,1089.86526449669,25.4078983567011
"2580","CUB",1987,5060.536719,-0.0343539516462368,1253.68424800742,25.2510148277593
"2581","CUB",1988,5192.094243,0.0256645821935386,1358.02156445331,25.4770415695586
"2582","CUB",1989,5174.429888,-0.0034079643038023,1195.19361372615,25.3876792078008
"2583","CUB",1990,4977.777225,-0.0387457154769937,1220.02810618762,25.560764865958
"2584","CUB",1991,4413.636402,-0.120284520404574,1185.79976130137,25.7913490308663
"2585","CUB",1992,3879.664956,-0.128950132270752,1209.61459839879,25.4210794864857
"2586","CUB",1993,3286.241564,-0.166004268361341,1379.62687541657,25.1341589506145
"2587","CUB",1994,3294.79272,0.00259872854126719,1398.53398740822,25.6653395908931
"2588","CUB",1995,3360.317244,0.0196921288349632,1459.93785343139,25.4331750777883
"2589","CUB",1996,3606.817031,0.0707902871714587,1408.67546681625,25.1617499039805
"2590","CUB",1997,3690.193264,0.0228531572020323,1204.4828283056,26.1314523496233
