"","extra","countrycode","year","gdppc","growth","interval","UDel_pop_temp","UDel_pop_preci","spatialaverage_temp","spatialaverage_preci","spatialaverage_pdsi","popaverage_pdsi","LMR_popu_air","LMR_popu_prate","LMR_spatial_air","LMR_spatial_prate","spatialbaselinetemp","popbaselinetemp","spatial_baseline_prate","pop_baseline_prate","LMR_spatial_temp","LMR_spatial_preci","LMR_pop_temp","LMR_pop_preci","Berkeley_poptemp","Berkeley_spatialtemp"
"2878","IDN1986","IDN",1986,50.11,0.0435235318617242,1,24.51378285,211.5138031,25.22845833,208.8098194,0.123299908982409,0.244307410234188,0.12131680187141,70.3695204332999,0.135098935411248,35.8203615016415,25.6715251892071,25.9028067168323,220.869451765455,194.262671368182,25.8066241246183,256.689813267096,26.0241235187037,264.632191801482,25.4900110936263,25.5744287076025
"2879","IDN1987","IDN",1987,51.83,0.0343244861305128,1,24.9115905,188.5466678,25.53048611,199.6050972,-0.140208842780651,-0.321209326447957,0.183397041539566,-89.4687518738775,0.17920512137533,-44.8927720978251,25.6715251892071,25.9028067168323,220.869451765455,194.262671368182,25.8507303105824,175.97667966763,26.0862037583719,104.793919494305,25.9165765076375,25.8726237772311
"2880","IDN1988","IDN",1988,54.01,0.0420605826741269,1,24.776214,198.1525979,25.37352778,241.7518472,0.427839892852506,0.19527037167761,0.305161682436593,93.1044207821134,0.308337404349878,199.601223647027,25.6715251892071,25.9028067168323,220.869451765455,194.262671368182,25.979862593557,420.470675412482,26.2079683992689,287.367092150295,25.8052554182077,25.795413053854
"2881","IDN1989","IDN",1989,57.98,0.0735049064987965,1,24.65994673,207.5622815,25.268,225.9034167,0.411074518033714,0.190503531019823,0.272182092267647,59.1881123411983,0.300044365503787,164.752637434057,25.6715251892071,25.9028067168323,220.869451765455,194.262671368182,25.9715695547109,385.622089199512,26.1749888090999,253.45078370938,25.5816224015352,25.5777418264532
"2882","IDN1990","IDN",1990,62.18,0.0724387719903417,1,24.87711848,190.9299676,25.46606944,213.4381389,-0.264344143703849,-0.367881816125732,0.200493641647008,-134.280246845299,0.226455286931005,-122.058229549877,25.6715251892071,25.9028067168323,220.869451765455,194.262671368182,25.8979804761381,98.8112222155776,26.1033003584793,59.9824245228833,25.8290081617347,25.7985346437429
"2883","IDN1991","IDN",1991,64.52,0.0376326793181088,1,24.65893862,194.9003928,25.36315278,212.3539306,-0.626099303530965,-0.830035308679129,0.228896657825507,-284.875587272788,0.26231966805236,-258.73999655994,25.6715251892071,25.9028067168323,220.869451765455,194.262671368182,25.9338448572595,-37.8705447944847,26.1317033746578,-90.6129159046063,25.6846460092978,25.6722411711747
"2884","IDN1992","IDN",1992,70.65,0.0950092994420337,1,24.47726385,200.0484319,25.34302778,195.4284722,-0.0623926577279095,-0.105751284689553,0.298804465344367,-26.0978738259453,0.295366649199542,-32.5796189998314,25.6715251892071,25.9028067168323,220.869451765455,194.262671368182,25.9668918384066,188.289832765624,26.2016111821767,168.164797542237,25.7008832551234,25.713125710311
"2885","IDN1993","IDN",1993,74.68,0.057041755130927,1,24.75217904,146.3493696,25.33616667,154.9345833,-0.185882900536991,-0.304318276170869,0.267845020671675,-75.506937949061,0.261640477709821,-58.4883496747349,25.6715251892071,25.9028067168323,220.869451765455,194.262671368182,25.9331656669169,162.38110209072,26.170651737504,118.755733419121,25.805798682435,25.6872168040402
"2886","IDN1994","IDN",1994,79.28,0.0615961435457952,1,24.85747628,130.8439087,25.42093056,159.8773889,-0.356910259658729,-0.607724920083167,0.298016362605085,-178.538241368041,0.329481770347587,-113.80357046899,25.6715251892071,25.9028067168323,220.869451765455,194.262671368182,26.0010069595547,107.065881296465,26.2008230794374,15.7244300001415,25.6547852417534,25.612265035057
"2887","IDN1995","IDN",1995,84.54,0.0663471241170535,1,24.92272721,161.1200916,25.468625,182.1962917,0.0963200862105925,-0.0710064097979853,0.455962755816669,41.0980181233921,0.46068771781564,74.3444709979825,25.6715251892071,25.9028067168323,220.869451765455,194.262671368182,26.1322129070227,295.213922763437,26.358769472649,235.360689491574,25.8424284083122,25.8006583040356
"2888","IDN1996","IDN",1996,89.73,0.0613910574875798,1,24.92681737,143.3775774,25.43977778,163.5627778,0.524687581998021,0.401424736853201,0.429112151636206,185.663706963675,0.422654047406276,229.345204025918,25.6715251892071,25.9028067168323,220.869451765455,194.262671368182,26.0941792366134,450.214655791373,26.3319188684685,379.926378331857,25.8395838160454,25.7825551682271
"2889","IDN1997","IDN",1997,92.47,0.0305360526022511,1,25.09694832,114.9862269,25.60769444,129.4133889,-0.667848595438288,-0.864376391214198,-0.0269982272614921,-284.417357418538,0.0173250326626399,-282.535338403392,25.6715251892071,25.9028067168323,220.869451765455,194.262671368182,25.6888502218697,-61.6658866379369,25.8758084895708,-90.1546860503559,25.9471108832759,25.9020979571233
"2890","IDN1998","IDN",1998,78.75,-0.148372445117335,1,25.51163375,149.5681242,25.96141667,164.5686667,0.278000212676441,-0.111168474167804,0.437648946102183,16.9766468927725,0.448290190676614,132.363974114669,25.6715251892071,25.9028067168323,220.869451765455,194.262671368182,26.1198153798837,353.233425880124,26.3404556629345,211.239318260954,26.384534434637,26.3454031458575
"2891","IDN1999","IDN",1999,77.88,-0.0110476190476191,1,24.86602899,198.3034301,25.30238889,230.8408472,0.483289266440797,0.458602682546324,0.396784600740174,189.247750992633,0.402425548047355,208.200172105939,25.6715251892071,25.9028067168323,220.869451765455,194.262671368182,26.0739507372545,429.069623871394,26.2995913175725,383.510422360815,25.7442394712921,25.7304021804583
"2892","IDN2000","IDN",2000,80.48,0.0333846944016436,1,24.89602449,204.7999337,25.36925,237.8190833,0.273477756596468,0.271005645050208,0.373146890688367,126.812839409645,0.38309231089487,130.553332559657,25.6715251892071,25.9028067168323,220.869451765455,194.262671368182,26.054617500102,351.422784325112,26.2759536075207,321.075510777827,25.8683522748034,25.7985261169597
"2893","IDN2001","IDN",2001,82.63,0.0267147117296223,1,24.91213611,207.4332202,25.49333333,217.8545833,NA,NA,NA,NA,NA,NA,25.6715251892071,25.9028067168323,220.869451765455,194.262671368182,NA,NA,NA,NA,25.960532798073,25.9209199289792
"2894","IDN2002","IDN",2002,85.19,0.030981483722619,1,25.1793277,150.410034,25.70706944,178.21575,NA,NA,NA,NA,NA,NA,25.6715251892071,25.9028067168323,220.869451765455,194.262671368182,NA,NA,NA,NA,26.197487667299,26.1087943121997
"2895","IDN2003","IDN",2003,88.47,0.0385021716163869,1,25.10898187,141.029964,25.55773611,176.0930556,NA,NA,NA,NA,NA,NA,25.6715251892071,25.9028067168323,220.869451765455,194.262671368182,NA,NA,NA,NA,26.1449970031902,26.0369335937832
"2896","IDN2004","IDN",2004,91.77,0.0373007799253984,1,25.12556027,124.9567429,25.57513889,141.3691944,NA,NA,NA,NA,NA,NA,25.6715251892071,25.9028067168323,220.869451765455,194.262671368182,NA,NA,NA,NA,26.1601114568646,26.0152488387798
"2897","IDN2005","IDN",2005,95.87,0.0446769096654682,1,25.19094031,160.5922022,25.57345833,181.9671944,NA,NA,NA,NA,NA,NA,25.6715251892071,25.9028067168323,220.869451765455,194.262671368182,NA,NA,NA,NA,26.1873309633131,26.0778176651458
"2898","IDN2006","IDN",2006,100,0.043079169708981,1,25.13932339,146.9854818,25.50894444,174.5802083,NA,NA,NA,NA,NA,NA,25.6715251892071,25.9028067168323,220.869451765455,194.262671368182,NA,NA,NA,NA,26.100670364716,26.0072253207698
"2899","IDN2007","IDN",2007,104.99,0.0499000000000001,1,25.04041123,166.7254169,25.44076389,189.4333611,NA,NA,NA,NA,NA,NA,25.6715251892071,25.9028067168323,220.869451765455,194.262671368182,NA,NA,NA,NA,26.0630132784411,25.9726643060771
"2900","IDN2008","IDN",2008,110.05,0.0481950661967807,1,24.81425318,168.9748518,25.24019444,194.2203472,NA,NA,NA,NA,NA,NA,25.6715251892071,25.9028067168323,220.869451765455,194.262671368182,NA,NA,NA,NA,25.8617113787795,25.7644786342852
"2901","IDN2009","IDN",2009,113.57,0.0319854611540209,1,25.10059733,156.9473919,25.60447222,170.8102222,NA,NA,NA,NA,NA,NA,25.6715251892071,25.9028067168323,220.869451765455,194.262671368182,NA,NA,NA,NA,26.1949513289154,26.1279019843363
"2902","IND1867","IND",1867,16.39,-0.00240830320678509,10,NA,NA,NA,NA,-0.0639553966690825,-0.0602180219314901,-0.238518899253831,-34.7075573125529,-0.244433564658106,-38.301590969826,23.9977661994898,25.4150603053953,99.0051357378182,97.7317279491818,23.7533326348317,60.7035447679922,25.1765414061415,63.0241706366289,19.3032113007245,24.8765902498286
"2903","IND1868","IND",1868,17.2,0.0494203782794387,1,NA,NA,NA,NA,-0.0325977391098849,0.0100374628088682,-0.10881406266501,-8.95034363789097,-0.105163409072683,-14.2398158585534,23.9977661994898,25.4150603053953,99.0051357378182,97.7317279491818,23.8926027904171,84.7653198792648,25.3062462427303,88.7813843112908,20.151226064317,24.3515998920481
"2904","IND1872","IND",1872,18.05,0.0121320790453512,4,NA,NA,NA,NA,-0.0119019251262315,0.0240169488100905,0.00187260186551954,-13.6374837238843,0.0057487518514787,-12.3153180652285,23.9977661994898,25.4150603053953,99.0051357378182,97.7317279491818,24.0035149513413,86.6898176725897,25.4169329072608,84.0942442252975,24.8487396455684,23.5979349981161
"2905","IND1873","IND",1873,17.41,-0.0354570637119114,1,NA,NA,NA,NA,-0.251649859060867,-0.323059835150183,0.0314496088577974,-33.4499876817722,0.00441868126073352,-22.1940859309454,23.9977661994898,25.4150603053953,99.0051357378182,97.7317279491818,24.0021848807505,76.8110498068728,25.4465099142531,64.2817402674096,24.9286918731372,23.6828631562872
"2906","IND1874","IND",1874,16.82,-0.0338885697874785,1,NA,NA,NA,NA,0.171517546187472,0.172357847205299,-0.195685713243236,31.9828690698347,-0.187008780615647,38.7888110680237,23.9977661994898,25.4150603053953,99.0051357378182,97.7317279491818,23.8107574188742,137.793946805842,25.2193745921521,129.714597019017,20.8326776754027,24.7937103951924
"2907","IND1875","IND",1875,19.07,0.133769322235434,1,NA,NA,NA,NA,0.1199129363795,0.163406611129494,-0.18766181251682,37.8037216159685,-0.169767278102186,33.2274774505606,23.9977661994898,25.4150603053953,99.0051357378182,97.7317279491818,23.8279989213876,132.232613188379,25.2273984928785,135.53544956515,25.0450598844742,23.771866341578
"2908","IND1876","IND",1876,16.72,-0.123230204509701,1,NA,NA,NA,NA,-0.101657721530871,-0.142175003136061,-0.102345560770211,-21.426311341771,-0.110367457832282,-20.3042343440691,23.9977661994898,25.4150603053953,99.0051357378182,97.7317279491818,23.8873987416575,78.7009013937491,25.3127147446251,76.3054166074108,24.995866923032,23.7364578213137
"2909","IND1877","IND",1877,16.14,-0.0346889952153109,1,NA,NA,NA,NA,-0.0206015234258389,-0.0184449038132247,0.0539234802575473,-20.4620027222968,0.0472115681770473,-21.0915194678461,23.9977661994898,25.4150603053953,99.0051357378182,97.7317279491818,24.0449777676668,77.9136162699721,25.4689837856528,77.269725226885,25.1297148764821,23.8857642898467
"2910","IND1878","IND",1878,18.97,0.175340768277571,1,NA,NA,NA,NA,0.0814349128840522,0.0517017548671764,0.280920420633553,33.8169456183965,0.276325772998974,38.6611177611011,23.9977661994898,25.4150603053953,99.0051357378182,97.7317279491818,24.2740919724888,137.666253498919,25.6959807260289,131.548673567578,25.4046984925155,24.1649913960606
"2911","IND1879","IND",1879,17.41,-0.0822351080653663,1,NA,NA,NA,NA,0.671652626068262,0.704379534755352,-0.0135743146878953,80.0671061752216,0.0195971055212026,77.1486358875709,23.9977661994898,25.4150603053953,99.0051357378182,97.7317279491818,24.017363305011,176.153771625389,25.4014859907074,177.798834124403,24.9478178905366,23.6593662721003
