"","countrycode","UDel_t_pop","year"
"472","UZB",13.5475213765935,1901
"473","VAT",15.2,1901
"474","VCT",25.8,1901
"475","VEN",24.64421434044,1901
"476","VGB",NA,1901
"477","VIR",27.1,1901
"478","VNM",25.2052298980888,1901
"479","VUT",24.3401936230863,1901
"480","PSE",19.3145874383338,1901
"481","WLF",NA,1901
"482","WSM",25.8,1901
"483","YEM",22.498238706864,1901
"484","ZAF",17.2683282490478,1901
"485","ZMB",20.5234179168254,1901
"486","ZWE",19.4097976130462,1901
"487","TUV",NA,1901
"488","GUF",27.3547825888466,1901
"489","ABW",NA,1902
"490","AFG",11.9113949805392,1902
"491","AGO",21.1483459620262,1902
"492","AIA",NA,1902
"493","ALB",13.1152380728272,1902
"494","ALA",3.7,1902
"495","AND",9.46147176688553,1902
"496","ARE",27.2774061530375,1902
"497","ARG",17.0261385060119,1902
"498","ARM",8.36428514746071,1902
"499","ASM",NA,1902
"500","ATA",NA,1902
"501","Ashm",NA,1902
"502","ATF",NA,1902
"503","ATG",NA,1902
"504","AUS",16.5229050707538,1902
"505","AUT",6.6908654876998,1902
"506","AZE",11.9796417317551,1902
"507","BDI",19.9419779928602,1902
"508","BEL",9.04757217543288,1902
"509","BEN",27.7644790010194,1902
"510","BFA",28.7867662599402,1902
"511","BGD",25.170687318559,1902
"512","BGR",9.81900753329629,1902
"513","BHR",NA,1902
"514","BHS",25.0989494225757,1902
"515","BIH",8.1903955728558,1902
"516","BLM",NA,1902
"517","BLR",4.55255848528151,1902
"518","BLZ",25.6759343448103,1902
"519","BMU",NA,1902
"520","BOL",17.8952445326709,1902
"521","BRA",21.9585485488301,1902
"522","BRB",NA,1902
"523","BRN",27.0532774321882,1902
"524","BTN",12.1609506176835,1902
"525","BWA",20.7879965225128,1902
"526","CAF",24.8814705957529,1902
"527","CAN",5.27354026368129,1902
"528","CHE",7.00973448375805,1902
"529","CHL",9.9324050288322,1902
"530","CHN",14.5936046529153,1902
"531","CIV",26.7424200188854,1902
"532","CMR",23.8800192829833,1902
"533","COD",22.9144101431379,1902
"534","COG",24.3568286950692,1902
"535","COK",24.2,1902
"536","COL",19.7641025731473,1902
"537","COM",24.8,1902
"538","CPV",21.1,1902
"539","CRI",22.1211082658299,1902
"540","CUB",25.0516364987366,1902
"541","CUW",NA,1902
"542","CYM",27.9,1902
"543","CYN",19.1848307482051,1902
"544","CYP",18.013638929525,1902
"545","CZE",6.86767820596492,1902
"546","DEU",7.86937200051366,1902
"547","DJI",27.7933837567988,1902
"548","DMA",NA,1902
"549","DNK",6.4600274735961,1902
"550","DOM",24.4600003992715,1902
"551","DZA",16.9279473952934,1902
"552","ECU",18.7343130618841,1902
"553","EGY",21.2496737324948,1902
"554","ERI",22.9348265888487,1902
"555","ESP",13.9025961572207,1902
"556","EST",3.03584910039026,1902
"557","ETH",19.0412655661551,1902
"558","FIN",1.30952877380643,1902
"559","FJI",23.5804698902046,1902
"560","FLK",5.58150137148919,1902
"561","FRA",10.2724231836498,1902
"562","FRO",NA,1902
"563","FSM",NA,1902
"564","GAB",24.4704422814993,1902
"565","Gaza",20.3,1902
"566","GBR",8.69476362769858,1902
"567","GEO",10.5062447381798,1902
"568","GGY",NA,1902
"569","GHA",26.8228924138433,1902
"570","GIN",25.6446359309159,1902
"571","GMB",27.0870938790173,1902
"572","GNB",27.3577253921447,1902
"573","GNQ",23.990885826739,1902
"574","GRC",15.1630071868242,1902
"575","GRD",NA,1902
"576","GRL",-4.38322634072076,1902
"577","GTM",22.1384398069038,1902
"578","GUM",NA,1902
